experiment,seed,macro_minADE_final,top1_ADE,top1_FDE,minADE,minFDE,Brier-minFDE,miss_rate_2m,parameters,vehicle_minADE,pedestrian_minADE,cyclist_minADE,minADE_3s,minADE_5s,minADE_final,turning_minADE,straight_minADE,interactive_minADE,intersection_minADE
A0,,2.871411686589702,4.725328072814718,12.21141529083252,4.725328072814718,12.21141529083252,12.21141529083252,0.8622999787330627,0,5.046605441427198,0.8452987330317439,2.7223308853101638,1.5368746263165587,3.484353003511384,4.725328072814718,7.5101714561712845,3.9181063149978845,4.707335166461038,4.856138949054569
A1,17,2.3116630313261157,3.385601613238255,8.759554862976074,3.385601613238255,8.759554862976074,8.759554862976074,0.8252000212669373,199545,3.590000068323055,0.8066782363742873,2.5383107892810037,1.0941243991474312,2.4856237850608824,3.385601613238255,5.1525598806062165,2.8674141848714796,3.3827321647246755,3.4516726407561658
A1,29,2.30827134516901,3.388265646003087,8.773167610168457,3.388265646003087,8.773167610168457,8.773167610168457,0.8281000256538391,199545,3.593139230588851,0.8070718650147876,2.524602939903392,1.0953176728995642,2.487515457179546,3.388265646003087,5.161672238692146,2.86835335130037,3.385808111210506,3.452284420267354
A1,43,2.3004101172494664,3.4038713287889957,8.818740844726562,3.4038713287889957,8.818740844726562,8.818740844726562,0.8267999887466431,199545,3.6107239593062035,0.8113823844178376,2.479124008024359,1.0978815045777957,2.4979907049064636,3.4038713287889957,5.214691326304409,2.8739988739441795,3.400636099583921,3.4659686927494366
A2,17,2.478785622651484,3.67055613626798,9.453137397766113,3.67055613626798,9.453137397766113,9.453137397766113,0.8382999897003174,68601,3.8894766086937436,0.9518634988112895,2.5950167604494188,1.2000757422745227,2.7018653179516794,3.67055613626798,6.09725784069571,2.964955042944486,3.6633623503230552,3.7661686474420484
A2,29,2.5074584182118103,3.909350772350629,9.911083221435547,3.909350772350629,9.911083221435547,9.911083221435547,0.8504999876022339,68601,4.157760435702491,0.8763292130392824,2.4882856058936587,1.304173949279785,2.9013180274081227,3.909350772350629,6.847982063841849,3.059084833099022,3.8932283900963673,4.029527323893276
A2,43,2.511183599840424,3.731584133123557,9.57762622833252,3.731584133123557,9.57762622833252,9.57762622833252,0.8406999707221985,68601,3.954101021038858,0.977700340492427,2.6017494379899864,1.2236504022816819,2.7517458594374657,3.731584133123557,6.330831293902861,2.975413837293448,3.7219211406935697,3.834007856564521
A3,17,2.240368309645712,3.314745571741263,8.596569061279297,3.314745571741263,8.596569061279297,8.596569061279297,0.8101000189781189,1115350,3.516658279859682,0.781310322917868,2.423136326159586,1.0774608981217941,2.4324720520200733,3.314745571741263,5.143275807825401,2.769049635443135,3.3105191006540435,3.3718357826391188
A3,29,2.229188898916075,3.31575394322753,8.604004859924316,3.31575394322753,8.604004859924316,8.604004859924316,0.8145999908447266,1115350,3.5173060130385703,0.8016045697304404,2.3686561139792146,1.0767494509291649,2.4328051034188274,3.31575394322753,5.114631013200145,2.782517642849957,3.3118485356891836,3.3746791179062816
A3,43,2.2350288997249295,3.326032784028053,8.629500389099121,3.326032784028053,8.629500389099121,8.629500389099121,0.817300021648407,1115350,3.5288415143529237,0.7937637799642664,2.382481404857599,1.0798304463710386,2.4403072992858883,3.326032784028053,5.148075603038476,2.7830214126230532,3.323189938200455,3.3836124900405964
